encoder,family,dim,stochastic,seed,anisotropy,effective_rank,intrinsic_dim_twonn,uniformity,alignment,knn_consistency,ari,nmi,knn_acc,silhouette_lab,linear_probe
ICA-30,ICA,30,True,2,0.0013152648461982608,29.9999942779541,19.709457987486616,-3.7073910236358643,0.872550368309021,0.0064268791491609205,0.6216585270554518,0.7697408215339154,0.8362486343511012,0.05313533917069435,0.9617158300270254
ICA-10,ICA,10,True,2,0.009803449735045433,10.000000953674316,8.028338905482654,-2.9302735328674316,0.1969558447599411,0.013255990274891742,0.8603315045554482,0.8459487431473943,0.9518565637398655,0.2583943009376526,0.9598190155827726
NMF-30,NMF,30,True,2,0.02105345018208027,24.631107330322266,16.138478072537556,-1.894303798675537,0.21540270745754242,0.01521336710510509,0.842935311037248,0.8202858388548044,0.938588925306193,0.23427122831344604,0.9401062331090794
NMF-10,NMF,10,True,2,0.06609031558036804,8.70058822631836,6.601114097453825,-1.6582404375076294,0.03558880463242531,0.014696095151252333,0.8453105669079324,0.8227829367822572,0.9397260077051348,0.4157593548297882,0.9355586222758898
AE-30,AE,30,True,2,0.008584527298808098,26.896278381347656,20.480498297651245,-3.260568380355835,0.6328849196434021,0.029377608337175853,0.8451028697981925,0.8199078181796468,0.9040983842217238,0.13377691805362701,0.938591081593928
AE-10,AE,10,True,2,0.010236809961497784,9.341552734375,9.179152418257729,-2.690833568572998,0.23231777548789978,0.020476189220865214,0.5808045985738067,0.7010031433637259,0.931016761543327,0.22126789391040802,0.9393522511643952
RandProj-30,control,30,True,2,5.6766901252558455e-05,29.84453773498535,23.359850254533665,-3.7266578674316406,0.9624967575073242,0.003696983318431124,0.0472266981576063,0.08211159037202144,0.48104910585935257,-0.003026805119588971,0.5693785578747628
Noise-30,control,30,True,2,-0.0013793011104525261,29.955459226446827,22.499755235643843,-3.7400401949013404,0.9717621195109518,0.0032501484555025636,-0.00046789753187543865,0.004385690771035126,0.3828690127077224,-0.014296268372465788,0.43290351331148297
ShufPCA-30,control,30,True,2,0.0031597460620105267,27.53880500793457,20.330608982219157,-3.42103910446167,0.7151275873184204,0.002935497484659598,-0.009557146017740681,0.005565689277276425,0.3923394284399977,-0.028876032680273056,0.42987177275602323
scVI-30,scVI,30,True,2,3.445973788984702e-06,28.04850959777832,16.57898003180481,-3.4992237091064453,0.6574163436889648,0.04873679292994637,0.5333861730801929,0.7124139982414117,0.9264634006095106,0.09556321054697037,0.9359460353056178
scVI-10,scVI,10,True,2,-0.0003160474880132824,9.825804710388184,8.47963989283665,-3.0227530002593994,0.29206758737564087,0.01702367359843777,0.4809074161248383,0.6854351972521902,0.937460468058191,0.13726839423179626,0.9385925191190847
